Transaction_ID,Product_ID,Product_Category,Product_Name,Brand,Purchase_Date,Original_Price_INR,Current_Market_Value_INR,Condition_at_Resale,Ownership_Cycle,Resale_Date,Resale_Price_INR,Seller_Type,Buyer_Type,Platform,Refurbished,Refurbishment_Cost_INR,Repair_Count,Product_Age_Months,Usage_Hours,Warranty_Status,Return_Status,Recycling_Eligible,Recycled,Recycling_Date,Material_Recovered_Kg,CO2_Saved_Kg,Waste_Diverted_Kg,Circularity_Score,Customer_Rating,Region,City,Final_Disposition
SCRAPED_TXN_00001,SCRAPED_PRD_00001,Books,A Light in the Attic,Unknown,2026-09-01,4659.3,3261.5099999999998,Good,1,2026-09-01,4659.3,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,3,Unknown,Unknown,Resold
SCRAPED_TXN_00002,SCRAPED_PRD_00002,Books,Tipping the Velvet,Unknown,2026-09-01,4836.6,3385.62,Good,1,2026-09-01,4836.6,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,1,Unknown,Unknown,Resold
SCRAPED_TXN_00003,SCRAPED_PRD_00003,Books,Soumission,Unknown,2026-09-01,4509.0,3156.2999999999997,Good,1,2026-09-01,4509.0,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,1,Unknown,Unknown,Resold
SCRAPED_TXN_00004,SCRAPED_PRD_00004,Books,Sharp Objects,Unknown,2026-09-01,4303.8,3012.66,Good,1,2026-09-01,4303.8,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,4,Unknown,Unknown,Resold
SCRAPED_TXN_00005,SCRAPED_PRD_00005,Books,Sapiens: A Brief History of Humankind,Unknown,2026-09-01,4880.7,3416.49,Good,1,2026-09-01,4880.7,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,5,Unknown,Unknown,Resold
SCRAPED_TXN_00006,SCRAPED_PRD_00006,Books,The Requiem Red,Unknown,2026-09-01,2038.4999999999998,1426.9499999999998,Good,1,2026-09-01,2038.4999999999998,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,1,Unknown,Unknown,Resold
SCRAPED_TXN_00007,SCRAPED_PRD_00007,Books,The Dirty Little Secrets of Getting Your Dream Job,Unknown,2026-09-01,3000.6000000000004,2100.42,Good,1,2026-09-01,3000.6000000000004,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,4,Unknown,Unknown,Resold
SCRAPED_TXN_00008,SCRAPED_PRD_00008,Books,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Unknown,2026-09-01,1613.7,1129.59,Good,1,2026-09-01,1613.7,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,3,Unknown,Unknown,Resold
SCRAPED_TXN_00009,SCRAPED_PRD_00009,Books,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Unknown,2026-09-01,2034.0000000000002,1423.8000000000002,Good,1,2026-09-01,2034.0000000000002,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,4,Unknown,Unknown,Resold
SCRAPED_TXN_00010,SCRAPED_PRD_00010,Books,The Black Maria,Unknown,2026-09-01,4693.5,3285.45,Good,1,2026-09-01,4693.5,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,1,Unknown,Unknown,Resold
SCRAPED_TXN_00011,SCRAPED_PRD_00011,Books,"Starving Hearts (Triangular Trade Trilogy, #1)",Unknown,2026-09-01,1259.1,881.3699999999999,Good,1,2026-09-01,1259.1,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,2,Unknown,Unknown,Resold
SCRAPED_TXN_00012,SCRAPED_PRD_00012,Books,Shakespeare's Sonnets,Unknown,2026-09-01,1859.4,1301.58,Good,1,2026-09-01,1859.4,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,4,Unknown,Unknown,Resold
SCRAPED_TXN_00013,SCRAPED_PRD_00013,Books,Set Me Free,Unknown,2026-09-01,1571.4,1099.98,Good,1,2026-09-01,1571.4,Individual,Individual,Books to Scrape,False,0,0,0,0,Unknown,Unknown,False,False,,0,0,0,0,5,Unknown,Unknown,Resold
